strain 1,stress 1,strain 2,stress 2,strain 3,stress 3,strain 4,stress 4,strain 5,stress 5
0.253405,5.794881553,0.340203333,5.252207767,0.279131667,5.334990291,0.143551833,5.03604,0.227193333,5.153314369
0.259688333,5.838605825,0.342976667,5.291266019,0.284875,5.369487379,0.147777667,5.077431262,0.228561667,5.197007184
0.265213333,5.891452427,0.350546667,5.328069903,0.28804,5.410852427,0.150491667,5.11422466,0.2359,5.233800583
0.272331667,5.932869903,0.351711667,5.367180583,0.295928333,5.452269903,0.156796167,5.151018058,0.24097,5.275170874
0.278776667,5.983462136,0.359738333,5.403984466,0.30131,5.493634951,0.1616115,5.194710874,0.241983333,5.311974757
0.284373333,6.027133981,0.359738333,5.447656311,0.304266667,5.532745631,0.165,5.236102136,0.250706667,5.355699029
0.29161,6.073165049,0.374558333,5.482153398,0.312156667,5.576417476,0.171075,5.275170874,0.257721667,5.392450485
0.298143333,6.116836893,0.377553333,5.521264078,0.31786,5.617834951,0.176001667,5.321201942,0.259125,5.436174757
0.303808333,6.162815534,0.384611667,5.564935922,0.321003333,5.656945631,0.179493333,5.360260194,0.266991667,5.47523301
0.311413333,6.208794175,0.390638333,5.606353398,0.329326667,5.700617476,0.186156667,5.40167767,0.272546667,5.516650485
0.313728333,6.257079612,0.395253333,5.643104854,0.335136667,5.739728155,0.191308333,5.440735922,0.273656667,5.555761165
0.324263333,6.307671845,0.402916667,5.686829126,0.338333333,5.781093204,0.194918333,5.484460194,0.283428333,5.597126214
0.332201667,6.351396117,0.40445,5.730500971,0.346978333,5.82251068,0.201405,5.521264078,0.290645,5.638543689
0.339435,6.399681553,0.414451667,5.767304854,0.353006667,5.863875728,0.206153333,5.564935922,0.292088333,5.682215534
0.345733333,6.443353398,0.414451667,5.808669903,0.356323333,5.896066019,0.209435,5.604046602,0.300206667,5.721326214
0.353893333,6.489384466,0.431171667,5.850087379,0.364536667,5.94204466,0.215303333,5.650025243,0.307145,5.762691262
0.360995,6.533056311,0.434375,5.891452427,0.370351667,5.978848544,0.219828333,5.689135922,0.308531667,5.804108738
0.367033333,6.581341748,0.442626667,5.923695146,0.373553333,6.017959223,0.222998333,5.728194175,0.317691667,5.84316699
0.375345,6.631933981,0.447576667,5.96736699,0.381755,6.057017476,0.229106667,5.76961165,0.324483333,5.884584466
0.382371667,6.680219417,0.459505,6.00647767,0.382036667,6.098434951,0.233695,5.813283495,0.325841667,5.930563107
